fold,variant,accuracy,macro_f1,quadratic_kappa,within_1,n_pred_f4,n_true_f4,f4_hits,f3plus_hits,n_true_f3plus
r0f0,A_fixed_clinical,0.6666666666666666,0.2518778801843318,0.31879514788060515,0.8435374149659864,1,9,0,2,17
r0f0,B_calibrated,0.5782312925170068,0.22335403726708075,0.429061000685401,0.8231292517006803,5,9,1,6,17
r0f0,C_corn_decode,0.6666666666666666,0.20932105375883486,0.24564483457123565,0.8435374149659864,1,9,0,2,17
r0f1,A_fixed_clinical,0.636986301369863,0.1891946992864424,0.4544508561157885,0.8561643835616438,0,9,0,3,16
r0f1,B_calibrated,0.6301369863013698,0.3850340136054422,0.5791429120491961,0.863013698630137,12,9,5,10,16
r0f1,C_corn_decode,0.684931506849315,0.21690590111642744,0.3000243368216111,0.8287671232876712,0,9,0,2,16
r0f2,A_fixed_clinical,0.6575342465753424,0.23059572364355457,0.13792750881856752,0.815068493150685,1,8,1,1,15
r0f2,B_calibrated,0.5684931506849316,0.28055151157723407,0.23489138703406287,0.815068493150685,4,8,1,4,15
r0f2,C_corn_decode,0.6575342465753424,0.18666666666666668,0.10146633843519215,0.8287671232876712,0,8,0,1,15
r0f3,A_fixed_clinical,0.678082191780822,0.16163265306122448,0.0,0.821917808219178,0,8,0,0,16
r0f3,B_calibrated,0.547945205479452,0.25079975940323007,0.19741079270077755,0.7671232876712328,13,8,2,3,16
r0f3,C_corn_decode,0.636986301369863,0.18042596348884382,0.018408836241395887,0.8287671232876712,0,8,0,0,16
r0f4,A_fixed_clinical,0.6758620689655173,0.16540084388185655,0.12102921664021649,0.8344827586206897,0,9,0,0,16
r0f4,B_calibrated,0.5862068965517241,0.2439263510282162,0.3479617495365527,0.8275862068965517,7,9,2,5,16
r0f4,C_corn_decode,0.6896551724137931,0.1943355119825708,0.06889836307174069,0.8275862068965517,0,9,0,0,16
r1f0,A_fixed_clinical,0.636986301369863,0.291169220030126,0.4229118670099833,0.8767123287671232,2,8,1,5,16
r1f0,B_calibrated,0.5821917808219178,0.2724863844392163,0.4577103465642608,0.7808219178082192,14,8,3,6,16
r1f0,C_corn_decode,0.7123287671232876,0.33506493506493507,0.43940635920445226,0.8561643835616438,4,8,2,5,16
r1f1,A_fixed_clinical,0.684931506849315,0.2039897698209719,0.21755397138379085,0.8493150684931506,0,9,0,0,17
r1f1,B_calibrated,0.5547945205479452,0.2918003872926153,0.44271419447063476,0.7945205479452054,13,9,4,8,17
r1f1,C_corn_decode,0.6712328767123288,0.16401673640167364,0.10286754665452869,0.821917808219178,0,9,0,0,17
r1f2,A_fixed_clinical,0.636986301369863,0.2226794258373206,0.1603018312321708,0.8287671232876712,2,9,1,1,16
r1f2,B_calibrated,0.5273972602739726,0.222536861634606,0.2696844315444945,0.7397260273972602,13,9,3,4,16
r1f2,C_corn_decode,0.6575342465753424,0.2370623263199682,0.1528526341344988,0.815068493150685,1,9,1,1,16
r1f3,A_fixed_clinical,0.6438356164383562,0.24094444444444446,0.23476983845647448,0.8561643835616438,0,8,0,2,15
r1f3,B_calibrated,0.5205479452054794,0.26434256589697,0.181186810485234,0.726027397260274,14,8,2,5,15
r1f3,C_corn_decode,0.678082191780822,0.2852745849297573,0.24122520713030382,0.8561643835616438,0,8,0,3,15
r1f4,A_fixed_clinical,0.6643835616438356,0.21277023629964806,0.33614245583964186,0.821917808219178,0,9,0,2,16
r1f4,B_calibrated,0.5958904109589042,0.30241301746829385,0.4316734139229397,0.7808219178082192,16,9,6,8,16
r1f4,C_corn_decode,0.7123287671232876,0.22538517975055025,0.17203653518016648,0.815068493150685,0,9,0,0,16
r2f0,A_fixed_clinical,0.7006802721088435,0.4134920879912391,0.36343852013057676,0.8503401360544217,2,9,2,4,16
r2f0,B_calibrated,0.5782312925170068,0.33868777273132067,0.42218798151001535,0.7959183673469388,10,9,4,7,16
r2f0,C_corn_decode,0.673469387755102,0.2621870882740448,0.2866894197952219,0.8503401360544217,2,9,2,2,16
r2f1,A_fixed_clinical,0.6506849315068494,0.20005148005148005,0.2783370198167292,0.8356164383561644,1,9,0,3,17
r2f1,B_calibrated,0.6232876712328768,0.31698752228163996,0.4244717754651529,0.7808219178082192,6,9,3,3,17
r2f1,C_corn_decode,0.678082191780822,0.21683029453015426,0.18269720101781162,0.8287671232876712,1,9,0,2,17
r2f2,A_fixed_clinical,0.6506849315068494,0.2628959276018099,0.290901693536083,0.8356164383561644,0,8,0,1,15
r2f2,B_calibrated,0.5958904109589042,0.33015371102327623,0.375623663578047,0.815068493150685,7,8,2,7,15
r2f2,C_corn_decode,0.678082191780822,0.19980295566502462,0.13700143630538064,0.8356164383561644,0,8,0,0,15
r2f3,A_fixed_clinical,0.6575342465753424,0.26114845938375353,0.3817221438003734,0.863013698630137,2,8,1,4,16
r2f3,B_calibrated,0.6232876712328768,0.29314019314019313,0.4628021818416551,0.8287671232876712,10,8,3,8,16
r2f3,C_corn_decode,0.6575342465753424,0.2642846254214735,0.3560303239145416,0.8698630136986302,2,8,1,4,16
r2f4,A_fixed_clinical,0.6413793103448275,0.2658902987670111,0.25177166708712706,0.8275862068965517,2,9,2,2,16
r2f4,B_calibrated,0.5241379310344828,0.30534421213666496,0.360676624922463,0.8,11,9,4,6,16
r2f4,C_corn_decode,0.6689655172413793,0.21577874818049492,0.14405441515850836,0.8206896551724138,0,9,0,2,16
